关键词,主题数标号,主题
降税,6,"0.038*""谈判"" + 0.034*""降税"" + 0.034*""目录"" + 0.024*""合理"" + 0.024*""企业"""
降税,7,"0.020*""企业"" + 0.020*""税收"" + 0.014*""报告"" + 0.014*""美国"" + 0.014*""应该"""
降税,8,"0.043*""抗癌药"" + 0.036*""降税"" + 0.028*""加快"" + 0.022*""推动"" + 0.021*""国家"""
降税,9,"0.031*""降税"" + 0.016*""集中"" + 0.016*""投资"" + 0.016*""采购"" + 0.011*""汽车"""
税改,0,"0.013*""经济"" + 0.013*""税收"" + 0.010*""全球"" + 0.010*""详情请"" + 0.010*""股东"""
税改,1,"0.047*""美国"" + 0.019*""计划"" + 0.016*""汇回"" + 0.016*""公司"" + 0.016*""企业"""
税改,2,"0.064*""美国"" + 0.029*""经济"" + 0.016*""增长"" + 0.014*""公司"" + 0.014*""回购"""
税改,3,"0.020*""草案"" + 0.010*""支出"" + 0.010*""改革"" + 0.010*""税务"" + 0.010*""专业"""
税改,4,"0.053*""美国"" + 0.026*""经济"" + 0.018*""公司"" + 0.012*""扣除"" + 0.012*""认为"""
税改,5,"0.018*""全球"" + 0.018*""美国"" + 0.015*""市场"" + 0.012*""退休"" + 0.012*""宣布"""
税改,6,"0.014*""美国"" + 0.014*""华尔街"" + 0.014*""企业"" + 0.011*""征收"" + 0.011*""投资"""
税改,7,"0.033*""美国"" + 0.028*""企业"" + 0.014*""中国"" + 0.011*""经济"" + 0.008*""定额"""
税改,8,"0.032*""有关"" + 0.029*""税收"" + 0.026*""工作"" + 0.023*""做好"" + 0.023*""纳税人"""
税改,9,"0.048*""美国"" + 0.029*""经济"" + 0.014*""市场"" + 0.011*""苹果"" + 0.011*""现金"""
增值税,0,"0.041*""增值税"" + 0.040*""企业"" + 0.021*""文章"" + 0.017*""头条"" + 0.014*""所得税"""
增值税,1,"0.095*""增值税"" + 0.022*""税率"" + 0.013*""事项"" + 0.013*""办税"" + 0.011*""虚开"""
增值税,2,"0.037*""增值税"" + 0.011*""中国"" + 0.011*""改革"" + 0.011*""发票"" + 0.011*""企业"""
增值税,3,"0.061*""增值税"" + 0.026*""税收"" + 0.021*""企业"" + 0.018*""专用发票"" + 0.013*""改革"""
增值税,4,"0.048*""增值税"" + 0.022*""企业"" + 0.018*""税额"" + 0.016*""留抵"" + 0.013*""中国"""
增值税,5,"0.106*""增值税"" + 0.044*""发票"" + 0.028*""企业"" + 0.015*""开具"" + 0.014*""专用发票"""
增值税,6,"0.130*""增值税"" + 0.021*""企业"" + 0.020*""纳税人"" + 0.016*""发票"" + 0.015*""税率"""
增值税,7,"0.074*""增值税"" + 0.050*""税率"" + 0.034*""企业"" + 0.015*""文章"" + 0.012*""纳税人"""
增值税,8,"0.036*""增值税"" + 0.015*""纳税人"" + 0.012*""收入"" + 0.011*""税率"" + 0.011*""发展"""
增值税,9,"0.065*""增值税"" + 0.049*""企业"" + 0.022*""发票"" + 0.016*""文章"" + 0.015*""头条"""
个人所得税,0,"0.040*""年终奖"" + 0.034*""利息"" + 0.028*""计算"" + 0.024*""奖金"" + 0.020*""套房"""
个人所得税,1,"0.163*""专项"" + 0.161*""扣除"" + 0.152*""附加"" + 0.052*""办法"" + 0.041*""报送"""
个人所得税,2,"0.087*""扣除"" + 0.073*""附加"" + 0.054*""专项"" + 0.042*""填报"" + 0.037*""信息"""
个人所得税,3,"0.062*""奖金"" + 0.056*""通知"" + 0.056*""计算"" + 0.056*""年终奖"" + 0.053*""个人"""
个人所得税,4,"0.045*""税务系统"" + 0.035*""政策"" + 0.033*""综合"" + 0.033*""取得"" + 0.023*""所得"""
个人所得税,5,"0.045*""所得"" + 0.044*""个人"" + 0.034*""扣缴"" + 0.028*""提高"" + 0.023*""问题"""
个人所得税,6,"0.094*""专项"" + 0.092*""扣除"" + 0.081*""附加"" + 0.033*""填报"" + 0.027*""全国"""
个人所得税,7,"0.097*""扣除"" + 0.087*""附加"" + 0.072*""专项"" + 0.042*""赡养"" + 0.036*""继续"""
个人所得税,8,"0.039*""注册"" + 0.027*""衔接"" + 0.027*""有关"" + 0.023*""头条"" + 0.023*""文章"""
个人所得税,9,"0.088*""扣除"" + 0.088*""附加"" + 0.078*""专项"" + 0.069*""税务"" + 0.069*""部门"""
企业所得税,0,"0.086*""企业"" + 0.026*""纳税"" + 0.021*""申报表"" + 0.021*""扣除"" + 0.021*""年度"""
企业所得税,1,"0.079*""企业"" + 0.056*""事项"" + 0.047*""办理"" + 0.047*""办税"" + 0.038*""所得税"""
企业所得税,2,"0.071*""企业"" + 0.065*""所得税"" + 0.029*""税率"" + 0.023*""扣除"" + 0.021*""纳税"""
企业所得税,3,"0.053*""企业"" + 0.027*""所得税"" + 0.027*""高新技术"" + 0.027*""公司"" + 0.018*""会计"""
企业所得税,4,"0.100*""所得税"" + 0.092*""企业"" + 0.025*""纳税"" + 0.021*""年度"" + 0.017*""汇算"""
企业所得税,5,"0.049*""所得税"" + 0.044*""企业"" + 0.030*""纳税"" + 0.030*""扣除"" + 0.030*""费用"""
企业所得税,6,"0.164*""企业"" + 0.138*""所得税"" + 0.043*""扣除"" + 0.019*""申报表"" + 0.017*""纳税"""
企业所得税,7,"0.080*""所得税"" + 0.041*""企业"" + 0.031*""会计"" + 0.021*""知识点"" + 0.011*""纳税"""
企业所得税,8,"0.030*""凭证"" + 0.020*""扣除"" + 0.020*""项目"" + 0.011*""所得税"" + 0.011*""企业"""
企业所得税,9,"0.143*""企业"" + 0.064*""所得税"" + 0.034*""纳税"" + 0.027*""政策"" + 0.023*""微利"""
税率,0,"0.055*""工资"" + 0.044*""薪金"" + 0.034*""执行"" + 0.030*""纳税人"" + 0.022*""月份"""
税率,1,"0.022*""税率"" + 0.019*""纳税"" + 0.013*""中国"" + 0.012*""修改"" + 0.011*""增加"""
税率,2,"0.096*""税率"" + 0.018*""文章"" + 0.016*""征收"" + 0.014*""头条"" + 0.012*""个税"""
税率,3,"0.057*""税率"" + 0.013*""购置税"" + 0.013*""车辆"" + 0.012*""规定"" + 0.009*""文章"""
税率,4,"0.071*""税率"" + 0.021*""起征点"" + 0.015*""决定"" + 0.014*""调整"" + 0.013*""收入"""
税率,5,"0.054*""税率"" + 0.041*""起征点"" + 0.020*""扣除"" + 0.016*""工资"" + 0.014*""降低"""
税率,6,"0.069*""税率"" + 0.021*""国家"" + 0.014*""税收"" + 0.013*""捍卫"" + 0.013*""企业"""
税率,7,"0.057*""税率"" + 0.036*""起征点"" + 0.025*""工资"" + 0.025*""薪金"" + 0.023*""所得"""
税率,8,"0.075*""税率"" + 0.020*""调整"" + 0.016*""购置税"" + 0.016*""车辆"" + 0.012*""规定"""
税率,9,"0.051*""税率"" + 0.044*""薪金"" + 0.041*""纳税人"" + 0.041*""工资"" + 0.028*""执行"""
起征点,0,"0.034*""扣除"" + 0.030*""专项"" + 0.030*""个人所得税法"" + 0.026*""继续"" + 0.026*""实施"""
起征点,1,"0.055*""起征点"" + 0.036*""个税法"" + 0.028*""影响"" + 0.021*""名称"" + 0.021*""菜品"""
起征点,2,"0.086*""起征点"" + 0.065*""扣除"" + 0.037*""支出"" + 0.031*""草案"" + 0.025*""专项"""
起征点,3,"0.093*""修正案"" + 0.074*""支出"" + 0.060*""税率"" + 0.051*""起征点"" + 0.045*""个税法"""
起征点,4,"0.098*""起征点"" + 0.035*""草案"" + 0.034*""提高"" + 0.025*""修改"" + 0.021*""扣除"""
起征点,5,"0.134*""起征点"" + 0.032*""建议"" + 0.027*""提高"" + 0.022*""收入"" + 0.018*""个税法"""
起征点,6,"0.057*""起征点"" + 0.023*""提高"" + 0.018*""实施"" + 0.017*""支出"" + 0.016*""计税"""
起征点,7,"0.098*""起征点"" + 0.030*""支出"" + 0.027*""关注"" + 0.025*""修正案"" + 0.023*""草案"""
起征点,8,"0.061*""扣除"" + 0.059*""专项"" + 0.053*""继续"" + 0.052*""实施"" + 0.041*""教育"""
起征点,9,"0.032*""实施"" + 0.031*""专项"" + 0.031*""扣除"" + 0.028*""起征点"" + 0.024*""继续"""
税务,0,"0.050*""税务"" + 0.038*""文章"" + 0.031*""头条"" + 0.024*""所得"" + 0.020*""发布"""
税务,1,"0.049*""考试"" + 0.042*""税务师"" + 0.041*""否认"" + 0.024*""问题"" + 0.016*""个税"""
税务,2,"0.026*""税务"" + 0.024*""注册"" + 0.020*""时间"" + 0.018*""工程师"" + 0.018*""免税"""
税务,3,"0.068*""违法"" + 0.056*""失信"" + 0.042*""税务"" + 0.027*""征收"" + 0.020*""部门"""
税务,4,"0.052*""税务"" + 0.050*""税款"" + 0.031*""部门"" + 0.026*""信息"" + 0.019*""美国"""
税务,5,"0.058*""扣除"" + 0.052*""附加"" + 0.034*""税务"" + 0.025*""问题"" + 0.024*""部门"""
税务,6,"0.107*""税务"" + 0.035*""部门"" + 0.029*""招聘"" + 0.028*""征收"" + 0.026*""企业"""
税务,7,"0.067*""离婚"" + 0.054*""工作人员"" + 0.049*""公司"" + 0.016*""区块"" + 0.015*""通知"""
税务,8,"0.075*""税收"" + 0.049*""专项"" + 0.045*""案件"" + 0.035*""影视"" + 0.034*""税款"""
税务,9,"0.042*""标准"" + 0.039*""改革"" + 0.037*""政策"" + 0.035*""企业"" + 0.035*""税务"""
科创板,0,"0.073*""创板"" + 0.043*""推出"" + 0.033*""试点"" + 0.032*""注册"" + 0.024*""企业"""
科创板,1,"0.037*""创板"" + 0.036*""科技"" + 0.029*""活跃"" + 0.029*""试点"" + 0.025*""推动"""
科创板,2,"0.086*""创板"" + 0.036*""企业"" + 0.027*""注册"" + 0.025*""股票"" + 0.025*""长生"""
科创板,3,"0.110*""企业"" + 0.087*""创板"" + 0.038*""登陆"" + 0.033*""西安"" + 0.031*""上市"""
科创板,4,"0.056*""创板"" + 0.035*""试点"" + 0.032*""注册"" + 0.031*""引入"" + 0.026*""市场"""
科创板,5,"0.076*""创板"" + 0.034*""板块"" + 0.027*""设立"" + 0.027*""注册"" + 0.026*""公司"""
科创板,6,"0.087*""创板"" + 0.029*""产业"" + 0.025*""出现"" + 0.025*""企业"" + 0.021*""储备"""
科创板,7,"0.101*""创板"" + 0.068*""企业"" + 0.018*""重点"" + 0.016*""相关"" + 0.014*""上市"""
科创板,8,"0.073*""创板"" + 0.032*""试点"" + 0.030*""落地"" + 0.027*""上市"" + 0.026*""创业板"""
科创板,9,"0.113*""市场"" + 0.065*""创板"" + 0.061*""资本"" + 0.060*""改革"" + 0.023*""企业"""
过审,0,"0.048*""过审"" + 0.039*""结合"" + 0.039*""战斗"" + 0.035*""国家"" + 0.016*""不能"""
过审,1,"0.068*""节目"" + 0.053*""过审"" + 0.035*""游戏"" + 0.032*""审批"" + 0.015*""视频"""
过审,2,"0.076*""过审"" + 0.018*""游戏"" + 0.016*""版号"" + 0.016*""天使"" + 0.015*""开始"""
过审,3,"0.060*""过审"" + 0.028*""期待"" + 0.022*""国家"" + 0.015*""超话"" + 0.010*""网易"""
过审,4,"0.077*""过审"" + 0.036*""泰国"" + 0.029*""批准"" + 0.021*""内地"" + 0.018*""视频"""
过审,5,"0.074*""过审"" + 0.037*""报名"" + 0.030*""竞争"" + 0.021*""公布"" + 0.018*""名单"""
过审,6,"0.033*""网络"" + 0.028*""过审"" + 0.026*""同性"" + 0.022*""计划"" + 0.012*""超话"""
过审,7,"0.053*""过审"" + 0.020*""报名"" + 0.019*""电影"" + 0.015*""视频"" + 0.013*""游戏"""
过审,8,"0.094*""过审"" + 0.043*""视频"" + 0.017*""没有"" + 0.014*""电影"" + 0.011*""看到"""
过审,9,"0.052*""过审"" + 0.025*""表演"" + 0.023*""有关"" + 0.019*""超话"" + 0.018*""中国"""
注册制,0,"0.057*""注册"" + 0.054*""市场"" + 0.036*""改革"" + 0.018*""投资"" + 0.015*""发行"""
注册制,1,"0.059*""注册"" + 0.041*""股市"" + 0.038*""市场"" + 0.031*""问题"" + 0.031*""改革"""
注册制,2,"0.124*""注册"" + 0.041*""运动员"" + 0.027*""电子竞技"" + 0.024*""协会"" + 0.020*""改革"""
注册制,3,"0.069*""注册"" + 0.046*""市场"" + 0.021*""中国"" + 0.021*""发行"" + 0.018*""授权"""
注册制,4,"0.122*""注册"" + 0.029*""市场"" + 0.024*""股票"" + 0.021*""发行"" + 0.019*""股市"""
注册制,5,"0.033*""注册"" + 0.026*""市场"" + 0.021*""运动员"" + 0.016*""电子竞技"" + 0.016*""中国"""
注册制,6,"0.039*""上市"" + 0.038*""注册"" + 0.021*""A股"" + 0.018*""发行"" + 0.018*""创业板"""
注册制,7,"0.051*""市场"" + 0.037*""制度"" + 0.033*""注册"" + 0.029*""股市"" + 0.029*""资本"""
注册制,8,"0.120*""注册"" + 0.038*""改革"" + 0.027*""市场"" + 0.023*""股票"" + 0.015*""发行"""
注册制,9,"0.016*""注册"" + 0.016*""股市"" + 0.011*""发展"" + 0.011*""行业"" + 0.011*""走势"""
审核制,0,"0.158*""公司"" + 0.083*""开放"" + 0.083*""美帝"" + 0.083*""市场"" + 0.083*""汽车"""
审核制,1,"0.133*""审核"" + 0.133*""监管"" + 0.133*""优质"" + 0.133*""回来"" + 0.133*""大家"""
审核制,2,"0.030*""美帝"" + 0.030*""汽车"" + 0.030*""结果"" + 0.030*""市场"" + 0.030*""公司"""
审核制,3,"0.133*""需要"" + 0.133*""教育"" + 0.133*""不用"" + 0.133*""特色"" + 0.133*""高校"""
审核制,4,"0.133*""市场"" + 0.133*""公司"" + 0.133*""结果"" + 0.133*""汽车"" + 0.133*""美帝"""
审核制,5,"0.030*""公司"" + 0.030*""汽车"" + 0.030*""结果"" + 0.030*""市场"" + 0.030*""美帝"""
审核制,6,"0.030*""美帝"" + 0.030*""公司"" + 0.030*""汽车"" + 0.030*""结果"" + 0.030*""市场"""
审核制,7,"0.133*""审核"" + 0.133*""申诉"" + 0.133*""晋江"" + 0.133*""申请"" + 0.133*""没有"""
审核制,8,"0.133*""只能"" + 0.133*""垃圾"" + 0.133*""基金"" + 0.133*""办法"" + 0.133*""利益"""
审核制,9,"0.133*""国家"" + 0.133*""增加"" + 0.133*""平台"" + 0.133*""公务员"" + 0.133*""社交"""
券商,0,"0.099*""券商"" + 0.037*""收购"" + 0.037*""业务"" + 0.032*""证券"" + 0.031*""销户"""
券商,1,"0.079*""板块"" + 0.049*""券商"" + 0.038*""指数"" + 0.031*""个股"" + 0.027*""调整"""
券商,2,"0.114*""券商"" + 0.075*""证券"" + 0.031*""中国"" + 0.022*""支持"" + 0.020*""申请"""
券商,3,"0.049*""券商"" + 0.043*""机构"" + 0.035*""计划"" + 0.032*""杀跌"" + 0.026*""经济"""
券商,4,"0.070*""券商"" + 0.039*""预测"" + 0.032*""大盘"" + 0.027*""市场"" + 0.026*""盘面"""
券商,5,"0.122*""券商"" + 0.033*""A股"" + 0.025*""指数"" + 0.025*""中国"" + 0.021*""纳入"""
券商,6,"0.075*""券商"" + 0.041*""市场"" + 0.039*""A股"" + 0.038*""板块"" + 0.035*""策略"""
券商,7,"0.058*""券商"" + 0.038*""股权"" + 0.030*""质押"" + 0.026*""市场"" + 0.022*""风险"""
券商,8,"0.045*""市场"" + 0.044*""券商"" + 0.038*""公司"" + 0.033*""时候"" + 0.032*""A股"""
券商,9,"0.087*""券商"" + 0.042*""股票"" + 0.036*""证券"" + 0.034*""质押"" + 0.018*""头条"""
基金,0,"0.086*""中国"" + 0.044*""基金"" + 0.029*""公益"" + 0.029*""基金会"" + 0.021*""捐款"""
基金,1,"0.089*""公益"" + 0.088*""儿童"" + 0.083*""爱心"" + 0.054*""防性"" + 0.047*""基金"""
基金,2,"0.052*""发展"" + 0.034*""教育"" + 0.030*""基金"" + 0.028*""美国"" + 0.028*""基金会"""
基金,3,"0.063*""基金"" + 0.047*""项目"" + 0.029*""公益"" + 0.028*""全球"" + 0.019*""能量"""
基金,4,"0.125*""超话"" + 0.065*""基金"" + 0.037*""视频"" + 0.030*""梦想"" + 0.030*""大家"""
基金,5,"0.116*""基金"" + 0.060*""梦想"" + 0.060*""超话"" + 0.040*""公司"" + 0.030*""投资"""
基金,6,"0.071*""大使"" + 0.059*""志愿者"" + 0.038*""基金"" + 0.026*""研究"" + 0.019*""公益"""
基金,7,"0.044*""行动"" + 0.037*""社会"" + 0.032*""国家"" + 0.023*""基金"" + 0.021*""股权"""
基金,8,"0.078*""保护"" + 0.059*""基金会"" + 0.053*""女童"" + 0.034*""活动"" + 0.017*""问题"""
基金,9,"0.119*""基金"" + 0.034*""市场"" + 0.032*""股票"" + 0.021*""计划"" + 0.021*""经理"""
创业板,0,"0.077*""创业板"" + 0.062*""头条"" + 0.053*""文章"" + 0.027*""强势"" + 0.021*""翻红"""
创业板,1,"0.051*""创业板"" + 0.041*""反弹"" + 0.036*""指数"" + 0.035*""上涨"" + 0.027*""中国"""
创业板,2,"0.058*""市场"" + 0.053*""超话"" + 0.043*""股票"" + 0.037*""创业板"" + 0.037*""指数"""
创业板,3,"0.074*""创业板"" + 0.030*""看盘"" + 0.021*""指数"" + 0.020*""图解"" + 0.016*""投资"""
创业板,4,"0.083*""股市"" + 0.048*""创业板"" + 0.026*""公司"" + 0.025*""分析"" + 0.019*""看盘"""
创业板,5,"0.068*""跌幅"" + 0.066*""创业板"" + 0.054*""板块"" + 0.040*""收盘"" + 0.030*""涨幅"""
创业板,6,"0.066*""创业板"" + 0.033*""超话"" + 0.033*""市场"" + 0.030*""低开"" + 0.021*""带动"""
创业板,7,"0.156*""看盘"" + 0.122*""创业板"" + 0.045*""股票"" + 0.028*""上证指数"" + 0.018*""超话"""
创业板,8,"0.061*""创业板"" + 0.059*""板块"" + 0.050*""指数"" + 0.040*""市场"" + 0.029*""个股"""
创业板,9,"0.044*""股指"" + 0.039*""财经"" + 0.038*""创业板"" + 0.032*""A股"" + 0.026*""超话"""
新三板,0,"0.047*""三板"" + 0.025*""企业"" + 0.023*""公司"" + 0.014*""检察院"" + 0.014*""犯罪事实"""
新三板,1,"0.058*""公司"" + 0.051*""三板"" + 0.024*""市场"" + 0.018*""涉嫌"" + 0.015*""企业"""
新三板,2,"0.097*""三板"" + 0.052*""挂牌"" + 0.047*""公司"" + 0.035*""企业"" + 0.015*""融资"""
新三板,3,"0.043*""三板"" + 0.042*""公司"" + 0.026*""企业"" + 0.021*""上市"" + 0.017*""摘牌"""
新三板,4,"0.043*""公司"" + 0.041*""三板"" + 0.012*""战略"" + 0.009*""酒类"" + 0.009*""用户"""
新三板,5,"0.045*""三板"" + 0.019*""公司"" + 0.018*""投资"" + 0.014*""企业"" + 0.014*""市场"""
新三板,6,"0.022*""公司"" + 0.017*""企业"" + 0.014*""三板"" + 0.014*""融资"" + 0.011*""数据"""
新三板,7,"0.056*""公司"" + 0.041*""三板"" + 0.030*""挂牌"" + 0.024*""市场"" + 0.015*""企业"""
新三板,8,"0.043*""公司"" + 0.039*""市场"" + 0.039*""三板"" + 0.032*""企业"" + 0.020*""发展"""
新三板,9,"0.055*""企业"" + 0.035*""三板"" + 0.035*""公司"" + 0.015*""资本"" + 0.010*""产业"""
上证,0,"0.077*""股海"" + 0.064*""人生"" + 0.031*""反弹"" + 0.026*""需要"" + 0.024*""板块"""
上证,1,"0.044*""期货"" + 0.042*""下跌"" + 0.034*""没有"" + 0.033*""收盘"" + 0.029*""个股"""
上证,2,"0.039*""板块"" + 0.029*""涨停"" + 0.022*""市场"" + 0.020*""热点"" + 0.019*""整体"""
上证,3,"0.100*""黄金"" + 0.036*""上证指数"" + 0.033*""继续"" + 0.033*""配资"" + 0.020*""解盘"""
上证,4,"0.040*""操作"" + 0.037*""文章"" + 0.024*""西北"" + 0.021*""企业"" + 0.020*""朋友"""
上证,5,"0.187*""股票"" + 0.114*""文章"" + 0.094*""头条"" + 0.091*""看盘"" + 0.082*""上证指数"""
上证,6,"0.214*""超话"" + 0.056*""看盘"" + 0.041*""上证指数"" + 0.026*""指数"" + 0.024*""大盘"""
上证,7,"0.045*""股市"" + 0.039*""市场"" + 0.037*""上证指数"" + 0.033*""用户"" + 0.023*""中国"""
上证,8,"0.104*""上海"" + 0.074*""国际"" + 0.067*""原油"" + 0.046*""股票"" + 0.044*""大家"""
上证,9,"0.044*""A股"" + 0.036*""资金"" + 0.034*""市场"" + 0.033*""股票"" + 0.024*""技术"""
深证,0,"0.031*""大关"" + 0.031*""肯定"" + 0.031*""刺激"" + 0.031*""主力"" + 0.031*""技术"""
深证,1,"0.035*""铁路"" + 0.035*""成为"" + 0.035*""餐桌上"" + 0.035*""人家"" + 0.035*""调整"""
深证,2,"0.030*""发布"" + 0.030*""文章"" + 0.030*""生物"" + 0.030*""最低点"" + 0.030*""成指"""
深证,3,"0.026*""指数"" + 0.026*""中国"" + 0.026*""大家"" + 0.014*""调整"" + 0.014*""铁路"""
深证,4,"0.041*""铁路"" + 0.021*""进入"" + 0.021*""视听"" + 0.021*""视频"" + 0.021*""策略"""
深证,5,"0.037*""长生"" + 0.037*""花朵"" + 0.037*""祖国"" + 0.037*""开市"" + 0.037*""生物"""
深证,6,"0.039*""调整"" + 0.039*""头条"" + 0.039*""文章"" + 0.021*""暴力"" + 0.021*""样本股"""
深证,7,"0.058*""深圳"" + 0.030*""祈祷"" + 0.030*""软骨"" + 0.030*""反馈"" + 0.030*""设计"""
深证,8,"0.030*""市值"" + 0.030*""观点"" + 0.030*""进入"" + 0.030*""天数"" + 0.030*""大盘股"""
深证,9,"0.023*""幅度"" + 0.023*""发现"" + 0.023*""消息"" + 0.023*""没有"" + 0.023*""发动"""
沪指,0,"0.065*""个股"" + 0.027*""板块"" + 0.022*""粉丝"" + 0.018*""盘面"" + 0.014*""出现"""
沪指,1,"0.058*""市场"" + 0.056*""指数"" + 0.038*""板块"" + 0.021*""盘面"" + 0.014*""震荡"""
沪指,2,"0.115*""板块"" + 0.027*""市场"" + 0.026*""收评"" + 0.024*""截止"" + 0.019*""股指"""
沪指,3,"0.026*""反弹"" + 0.020*""资金"" + 0.018*""市场"" + 0.017*""板块"" + 0.015*""超话"""
沪指,4,"0.041*""粉丝"" + 0.033*""调整"" + 0.031*""超话"" + 0.025*""头条"" + 0.021*""指数"""
沪指,5,"0.031*""杀跌"" + 0.025*""银行"" + 0.024*""板块"" + 0.021*""头条"" + 0.021*""超话"""
沪指,6,"0.022*""大跌"" + 0.022*""涨停"" + 0.019*""压力"" + 0.018*""A股"" + 0.017*""收官"""
沪指,7,"0.047*""板块"" + 0.037*""市场"" + 0.025*""股市"" + 0.022*""超话"" + 0.019*""中国"""
沪指,8,"0.030*""股票"" + 0.029*""市场"" + 0.028*""反弹"" + 0.026*""超话"" + 0.023*""新低"""
沪指,9,"0.044*""指数"" + 0.022*""震荡"" + 0.021*""回落"" + 0.018*""继续"" + 0.012*""新低"""
深指,0,"0.042*""本场"" + 0.042*""大跌"" + 0.042*""面对"" + 0.042*""时间段"" + 0.042*""目标"""
深指,1,"0.042*""大跌"" + 0.042*""意味着"" + 0.042*""个股"" + 0.042*""面对"" + 0.042*""支持"""
深指,2,"0.131*""让步"" + 0.126*""意甲"" + 0.118*""本场"" + 0.114*""支持"" + 0.082*""面对"""
深指,3,"0.042*""大跌"" + 0.042*""支持"" + 0.042*""目标"" + 0.042*""个股"" + 0.042*""面对"""
深指,4,"0.149*""交易日"" + 0.149*""主力"" + 0.149*""月份"" + 0.149*""合约"" + 0.149*""目标"""
深指,5,"0.156*""面对"" + 0.129*""支持"" + 0.126*""本场"" + 0.120*""意甲"" + 0.115*""让步"""
深指,6,"0.149*""大跌"" + 0.149*""股市"" + 0.149*""股指"" + 0.149*""期待"" + 0.149*""美国"""
深指,7,"0.089*""板块"" + 0.089*""大跌"" + 0.089*""表现"" + 0.089*""部分"" + 0.089*""下调"""
深指,8,"0.042*""本场"" + 0.042*""时间段"" + 0.042*""大跌"" + 0.042*""支持"" + 0.042*""美国"""
深指,9,"0.042*""大跌"" + 0.042*""意味着"" + 0.042*""支持"" + 0.042*""期待"" + 0.042*""股指"""
A股,0,"0.069*""A股"" + 0.060*""股票"" + 0.035*""股份"" + 0.033*""超话"" + 0.032*""公司"""
A股,1,"0.119*""A股"" + 0.081*""市场"" + 0.063*""指数"" + 0.054*""中国"" + 0.034*""资金"""
A股,2,"0.080*""A股"" + 0.029*""外资"" + 0.026*""市场"" + 0.024*""时间"" + 0.022*""调整"""
A股,3,"0.123*""A股"" + 0.062*""文章"" + 0.043*""头条"" + 0.027*""发布"" + 0.019*""大跌"""
A股,4,"0.038*""A股"" + 0.038*""走出"" + 0.031*""公司"" + 0.026*""有望"" + 0.025*""业绩"""
A股,5,"0.082*""A股"" + 0.031*""公司"" + 0.021*""市值"" + 0.021*""中国"" + 0.020*""成为"""
A股,6,"0.088*""A股"" + 0.033*""上市"" + 0.030*""能否"" + 0.023*""机构"" + 0.021*""操作"""
A股,7,"0.088*""A股"" + 0.037*""股民"" + 0.035*""市场"" + 0.029*""全球"" + 0.027*""还有"""
A股,8,"0.071*""A股"" + 0.048*""投资"" + 0.043*""视频"" + 0.026*""市场"" + 0.025*""价值"""
A股,9,"0.109*""A股"" + 0.044*""走势"" + 0.036*""市场"" + 0.034*""没有"" + 0.029*""港股"""
股市,0,"0.098*""股市"" + 0.039*""大盘"" + 0.022*""反弹"" + 0.019*""关注"" + 0.015*""市场"""
股市,1,"0.084*""经济"" + 0.075*""股市"" + 0.045*""市场"" + 0.039*""加息"" + 0.037*""美国"""
股市,2,"0.043*""股市"" + 0.023*""股份"" + 0.022*""黄金"" + 0.018*""资本"" + 0.018*""金融"""
股市,3,"0.057*""股市"" + 0.050*""风险"" + 0.040*""股票"" + 0.029*""财经"" + 0.021*""热点"""
股市,4,"0.114*""股市"" + 0.053*""没有"" + 0.032*""股民"" + 0.030*""机会"" + 0.023*""交易"""
股市,5,"0.160*""股市"" + 0.085*""中国"" + 0.028*""操作"" + 0.020*""策略"" + 0.018*""视频"""
股市,6,"0.073*""股市"" + 0.056*""指数"" + 0.033*""市场"" + 0.033*""下跌"" + 0.026*""继续"""
股市,7,"0.065*""股市"" + 0.063*""投资"" + 0.052*""个股"" + 0.050*""市场"" + 0.027*""价值"""
股市,8,"0.115*""文章"" + 0.102*""股市"" + 0.085*""头条"" + 0.046*""发布"" + 0.025*""直播"""
股市,9,"0.088*""超话"" + 0.077*""股市"" + 0.019*""股票"" + 0.015*""大跌"" + 0.015*""看盘"""
证券市场,0,"0.037*""证券市场"" + 0.035*""禁入"" + 0.029*""操纵"" + 0.028*""市场"" + 0.020*""长生"""
证券市场,1,"0.091*""证券市场"" + 0.055*""中国"" + 0.041*""投资者"" + 0.038*""新增"" + 0.022*""禁入"""
证券市场,2,"0.026*""证券市场"" + 0.021*""中国"" + 0.019*""周刊"" + 0.011*""股票"" + 0.008*""证券"""
证券市场,3,"0.034*""证券市场"" + 0.028*""操纵"" + 0.020*""市场"" + 0.020*""违法"" + 0.020*""证券"""
证券市场,4,"0.024*""中国"" + 0.020*""投资"" + 0.017*""证券市场"" + 0.013*""股票"" + 0.013*""证券"""
证券市场,5,"0.049*""证券市场"" + 0.027*""禁入"" + 0.015*""操纵"" + 0.013*""金融"" + 0.013*""上海"""
证券市场,6,"0.065*""证券市场"" + 0.035*""公司"" + 0.030*""禁入"" + 0.019*""决定书"" + 0.016*""文化"""
证券市场,7,"0.042*""市场"" + 0.032*""证券市场"" + 0.023*""文化"" + 0.021*""公司"" + 0.021*""相关"""
证券市场,8,"0.058*""证券市场"" + 0.019*""禁入"" + 0.017*""周刊"" + 0.015*""决定书"" + 0.015*""发展"""
证券市场,9,"0.054*""证券市场"" + 0.034*""禁入"" + 0.015*""推动"" + 0.015*""夫妇"" + 0.015*""长生"""
